taxon ;especie.ameacada ;celulas.pprior;per.celulas.final 
Actitis macularius ;N;591;86
Anas discors ;N;63;49
Anas georgica ;N;115;93
Anas platalea ;N;10;100
Anas sibilatrix ;N;7;100
Anas versicolor ;N;127;95
Anthracothorax nigricollis ;N;1153;68
Anthus correndera ;N;20;100
Arenaria interpres ;N;233;96
Attila phoenicurus ;N;202;78
Bartramia longicauda ;N;132;93
Buteo platypterus ;N;55;100
Buteo swainsoni ;N;52;100
Calidris alba ;N;233;96
Calidris bairdii ;N;8;100
Calidris fuscicollis ;N;281;94
Calidris himantopus ;N;65;100
Calidris melanotos ;N;239;94
Calidris minutilla ;N;139;95
Callonetta leucophrys ;N;99;92
Casiornis fusca ;N;384;48
Catharus fuscescens ;N;111;80
Catharus minimus ;N;8;100
Catharus swainsoni ;N;28;100
Chaetura meridionalis ;N;637;81
Charadrius falklandicus ;N;17;100
Charadrius modestus ;N;41;100
Charadrius semipalmatus ;N;376;90
Chionis albus ;N;6;100
Chlidonias niger ;N;14;100
Chordeiles minor ;N;115;90
Cinclodes fuscus ;N;17;100
Coccyzus americanus ;N;214;88
Coccyzus melacoryphus ;N;1024;67
Contopus cooperi ;N;51;100
Contopus virens ;N;54;87
Coscoroba coscoroba ;N;64;100
Cyanoloxia glaucocaerulea ;N;341;76
Dacnis nigripes ;N;99;91
Dendrocygna bicolor ;N;221;90
Dolichonyx oryzivorus ;N;30;100
Elaenia chilensis ;N;271;63
Elaenia chiriquensis ;N;552;57
Elaenia parvirostris ;N;683;70
Elaenia spectabilis ;N;735;67
Elanoides forficatus ;N;866;72
Empidonax alnorum ;N;13;100
Empidonomus varius ;N;1939;59
Falco peregrinus ;N;384;86
Florisuga fusca ;N;813;71
Fluvicola albiventer ;N;514;61
Gelochelidon nilotica ;N;82;100
Griseotyrannus aurantioatrocristatus ;N;498;64
Harpagus diodon ;N;466;85
Heteronetta atricapilla ;N;11;100
Hirundo rustica ;N;492;80
Hydropsalis parvulus ;N;623;73
Hymenops perspicillatus ;N;113;97
Ictinia mississippiensis ;N;39;100
Ictinia plumbea ;N;1265;63
Inezia inornata ;N;39;100
Larus atlanticus ;N;21;100
Lathrotriccus euleri ;N;1520;54
Legatus leucophaius ;N;792;73
Lessonia rufa ;N;23;100
Leucophaeus atricilla ;N;62;100
Limosa haemastica ;N;79;98
Lurocalis semitorquatus ;N;426;78
Micrococcyx cinereus ;N;69;91
Mimus triurus ;N;165;92
Myiarchus swainsoni ;N;1363;62
Myiodynastes maculatus ;N;2305;53
Myiopagis viridicata ;N;873;53
Myiophobus fasciatus ;N;1497;62
Neochen jubata ;N;84;100
Netta peposaca ;N;64;95
Numenius hudsonicus ;N;149;99
Nyctanassa violacea ;N;156;97
Oreopholus ruficollis ;N;11;100
Oxyura vittata ;N;17;100
Pachyramphus polychopterus ;N;1577;61
Pachyramphus validus ;N;1043;68
Pandion haliaetus ;N;597;83
Pardirallus sanguinolentus ;N;189;96
Petrochelidon pyrrhonota ;N;161;88
Phalaropus tricolor ;N;61;100
Pheucticus aureoventris ;N;40;70
Phoenicopterus chilensis ;N;27;100
Phytotoma rutila ;N;10;100
Piranga rubra ;N;17;100
Pitangus sulphuratus ;N;2929;50
Platalea ajaja ;N;743;76
Plegadis chihi ;N;358;80
Pluvialis dominica ;N;283;93
Pluvialis squatarola ;N;178;98
Podager nacunda ;N;507;85
Porphyrio martinicus ;N;1056;68
Progne chalybea ;N;1793;62
Progne elegans ;N;14;100
Progne subis ;N;198;83
Progne tapera ;N;1566;68
Pseudocolopteryx acutipennis ;N;13;100
Pseudocolopteryx flaviventris ;N;47;98
Pygochelidon melanoleuca ;N;108;85
Pyrocephalus rubinus ;N;1263;64
Riparia riparia ;N;95;95
Rostrhamus sociabilis ;N;1165;66
Rynchops niger ;N;519;85
Serpophaga griseicapilla ;N;15;100
Serpophaga munda ;N;17;100
Setophaga petechia ;N;30;97
Setophaga ruticilla ;N;16;100
Setophaga striata ;N;41;98
Sporophila bouvreuil ;N;398;66
Sporophila caerulescens ;N;1900;53
Sporophila cinnamomea ;N;87;83
Sporophila hypochroma ;N;19;100
Sporophila lineola ;N;1422;57
Stelgidopteryx ruficollis ;N;2174;56
Sterna hirundo ;N;217;96
Sterna paradisaea ;N;37;100
Sterna trudeaui ;N;69;100
Sternula antillarum ;N;53;100
Sublegatus modestus ;N;362;59
Tachycineta leucopyga ;N;36;100
Tersina viridis ;N;1480;58
Thalasseus acuflavidus ;N;209;93
Tringa flavipes ;N;668;85
Tringa melanoleuca ;N;461;90
Tringa semipalmata ;N;114;99
Tringa solitaria ;N;1134;70
Turdus amaurochalinus ;N;2353;50
Turdus flavipes ;N;645;66
Turdus subalaris ;N;506;71
Tyrannus albogularis ;N;670;63
Tyrannus melancholicus ;N;2968;49
Tyrannus savana ;N;2053;57
Tyrannus tyrannus ;N;39;100
Vireo altiloquus ;N;26;100
Vireo chivi ;N;1225;70
Vireo olivaceus ;N;10;100
Xolmis coronata ;N;6;100
Calidris canutus ;CR ;98;100
Limnodromus griseus ;CR ;90;100
Calidris pusilla ;EN ;172;98
Thalasseus maximus ;EN ;120;100
Amazona pretrei ;VU ;75;100
Calidris subruficollis ;VU ;50;100
Sporophila beltoni ;VU ;22;100
Sporophila hypoxantha ;VU ;132;93
Sporophila melanogaster ;VU ;127;91
Sporophila palustris ;VU ;64;100
Sporophila ruficollis ;VU ;57;100
Sterna dougallii ;VU ;33;100
Sterna hirundinacea ;VU ;129;91
Tangara peruviana ;VU ;166;94
