prop_paisagem_removida;remanescente;maxima;media;minima
0.00008;99.992;1;1;1
0.00107;99.893;1;1;1
0.00206;99.794;1;1;1
0.00305;99.695;1;1;1
0.00404;99.596;1;1;1
0.00503;99.497;1;1;1
0.00602;99.398;1;1;1
0.00701;99.299;1;1;1
0.008;99.2;1;1;1
0.00899;99.101;1;1;1
0.00998;99.002;1;1;1
0.01097;98.903;1;1;1
0.01196;98.804;1;1;1
0.01295;98.705;1;1;1
0.01394;98.606;1;1;1
0.01493;98.507;1;1;1
0.01593;98.407;1;1;1
0.01692;98.308;1;1;1
0.01791;98.209;1;1;1
0.0189;98.11;1;1;1
0.01989;98.011;1;1;1
0.02088;97.912;1;1;1
0.02187;97.813;1;1;1
0.02286;97.714;1;1;1
0.02385;97.615;1;1;1
0.02484;97.516;1;1;1
0.02583;97.417;1;1;1
0.02682;97.318;1;1;1
0.02781;97.219;1;1;1
0.0288;97.12;1;1;1
0.02979;97.021;1;1;1
0.03078;96.922;1;1;1
0.03177;96.823;1;1;1
0.03276;96.724;1;1;1
0.03375;96.625;1;1;1
0.03475;96.525;1;1;1
0.03574;96.426;1;1;1
0.03673;96.327;1;1;1
0.03772;96.228;1;1;1
0.03871;96.129;1;1;1
0.0397;96.03;1;1;1
0.04069;95.931;1;1;1
0.04168;95.832;1;1;1
0.04267;95.733;1;1;1
0.04366;95.634;1;1;1
0.04465;95.535;1;1;1
0.04564;95.436;1;1;1
0.04663;95.337;1;1;1
0.04762;95.238;1;1;1
0.04861;95.139;1;1;1
0.0496;95.04;1;1;1
0.05059;94.941;1;1;1
0.05158;94.842;1;1;1
0.05258;94.742;1;1;1
0.05357;94.643;1;1;1
0.05456;94.544;1;1;1
0.05555;94.445;1;1;1
0.05654;94.346;1;1;1
0.05753;94.247;1;1;1
0.05852;94.148;1;1;1
0.05951;94.049;1;1;1
0.0605;93.95;1;0.999829545;0.97
0.06149;93.851;1;0.999829545;0.97
0.06248;93.752;1;0.999829545;0.97
0.06347;93.653;1;0.999829545;0.97
0.06446;93.554;1;0.999829545;0.97
0.06545;93.455;1;0.999829545;0.97
0.06644;93.356;1;0.999829545;0.97
0.06743;93.257;1;0.999829545;0.97
0.06842;93.158;1;0.999829545;0.97
0.06941;93.059;1;0.999829545;0.97
0.07041;92.959;1;0.999829545;0.97
0.0714;92.86;1;0.999829545;0.97
0.07239;92.761;1;0.999829545;0.97
0.07338;92.662;1;0.999829545;0.97
0.07437;92.563;1;0.999829545;0.97
0.07536;92.464;1;0.999829545;0.97
