Espécie;A;B;C;D;E;F;G;H
Amazona pretrei;1;1;1;0;1;0.25;2;6.25
Calidris canutus;0;1;1;0;0;0;4;6
Limnodromus griseus;0;1;1;0;0;0;4;6
Pterodroma arminjoniana;0;0;1;0;0;0.25;4;5.25
Thalasseus maximus;0;1;1;0;0;0.25;3;5.25
Calidris pusilla;0;1;1;0;0;0;3;5
Puffinus lherminieri;0;0;1;0;0;0;4;5
Sterna dougallii;0;1;1;0;1;0;2;5
Stilpnia peruviana;1;0;1;0;1;0;2;5
Calidris subruficollis;0;1;1;0;0;0;2;4
Sporophila beltoni;1;1;0;0;0;0;2;4
Sporophila melanogaster;1;1;0;0;0;0;2;4
Sporophila ruficollis;1;1;0;0;0;0;2;4
Sterna hirundinacea;0;1;1;0;0;0;2;4
Coscoroba coscoroba;0;1;1;0;1;0.25;0;3.25
Numenius hudsonicus;0;1;1;0;0;0.25;1;3.25
Rostrhamus sociabilis;0;1;1;1;0;0.25;0;3.25
Arenaria interpres;0;1;1;0;0;0;1;3
Casiornis fuscus;1;0;1;0;1;0;0;3
Catharus fuscescens;0;1;1;0;1;0;0;3
Catharus minimus;0;1;1;0;1;0;0;3
Catharus swainsoni;0;1;1;0;1;0;0;3
Conothraupis speculigera;0;1;1;0;0;0;1;3
Harpagus diodon;0;1;0;1;1;0;0;3
Pygochelidon melanoleuca;0;1;1;0;0;0;1;3
Sporophila hypoxantha;0;1;0;0;0;0;2;3
Sporophila palustris;0;1;0;0;0;0;2;3
Buteo platypterus;0;1;0;1;0;0.25;0;2.25
Buteo swainsoni;0;1;0;1;0;0.25;0;2.25
Chroicocephalus cirrocephalus;0;1;1;0;0;0.25;0;2.25
Dendrocygna bicolor;0;1;1;0;0;0.25;0;2.25
Elanoides forficatus;0;1;0;1;0;0.25;0;2.25
Larus atlanticus;0;1;1;0;0;0.25;0;2.25
Leucophaeus atricilla;0;1;1;0;0;0.25;0;2.25
Neochen jubata;0;1;0;0;1;0.25;0;2.25
Nyctanassa violacea;0;1;1;0;0;0.25;0;2.25
Phoenicopterus chilensis;0;1;0;0;1;0.25;0;2.25
Platalea ajaja;0;1;0;0;1;0.25;0;2.25
Plegadis chihi;0;1;1;0;0;0.25;0;2.25
Actitis macularius;0;1;1;0;0;0;0;2
Anthracothorax nigricollis;0;0;1;0;1;0;0;2
Attila phoenicurus;0;0;1;0;1;0;0;2
Bartramia longicauda;0;1;1;0;0;0;0;2
Calidris alba;0;1;1;0;0;0;0;2
Calidris bairdii;0;1;1;0;0;0;0;2
Calidris fuscicollis;0;1;1;0;0;0;0;2
Calidris himantopus;0;1;1;0;0;0;0;2
Calidris mauri;0;1;1;0;0;0;0;2
Calidris melanotos;0;1;1;0;0;0;0;2
Calidris minutilla;0;1;1;0;0;0;0;2
Charadrius falklandicus;0;1;1;0;0;0;0;2
Charadrius modestus;0;1;1;0;0;0;0;2
Charadrius semipalmatus;0;1;1;0;0;0;0;2
Chlidonias niger;0;1;1;0;0;0;0;2
Chordeiles minor;0;1;1;0;0;0;0;2
Coccyzus americanus;0;0;1;0;1;0;0;2
Coccyzus erythropthalmus;0;0;1;0;1;0;0;2
Coccyzus melacoryphus;0;0;1;0;1;0;0;2
Contopus cooperi;0;0;1;0;0;0;1;2
Cypseloides niger;0;1;1;0;0;0;0;2
Dacnis nigripes;1;0;0;0;1;0;0;2
Florisuga fusca;0;0;1;0;1;0;0;2
Gelochelidon nilotica;0;1;1;0;0;0;0;2
Hirundo rustica;0;1;1;0;0;0;0;2
Icterus galbula;0;0;1;0;1;0;0;2
Ictinia mississippiensis;0;1;0;1;0;0;0;2
Ictinia plumbea;0;1;0;1;0;0;0;2
Inezia inornata;0;0;1;0;1;0;0;2
Lessonia rufa;0;0;1;0;1;0;0;2
Limosa haemastica;0;1;1;0;0;0;0;2
Myiophobus fasciatus;0;1;1;0;0;0;0;2
Onychoprion fuscatus;0;1;0;0;1;0;0;2
Oreopholus ruficollis;0;1;1;0;0;0;0;2
Pardirallus sanguinolentus;0;1;1;0;0;0;0;2
Parkesia motacilla;0;0;1;0;1;0;0;2
Petrochelidon pyrrhonota;0;1;1;0;0;0;0;2
Phalaropus tricolor;0;1;1;0;0;0;0;2
Piranga rubra;0;0;1;0;1;0;0;2
Pitangus sulphuratus;0;1;1;0;0;0;0;2
Pluvialis dominica;0;1;1;0;0;0;0;2
Pluvialis squatarola;0;1;1;0;0;0;0;2
Podager nacunda;0;1;1;0;0;0;0;2
Polystictus pectoralis;0;0;1;0;0;0;1;2
Progne chalybea;0;1;1;0;0;0;0;2
Progne cryptoleuca;0;1;1;0;0;0;0;2
Progne dominicensis;0;1;1;0;0;0;0;2
Progne elegans;0;1;1;0;0;0;0;2
Progne subis;0;1;1;0;0;0;0;2
Progne tapera;0;1;1;0;0;0;0;2
Pseudocolopteryx acutipennis;0;0;1;0;1;0;0;2
Riparia riparia;0;1;1;0;0;0;0;2
Rynchops niger;0;1;1;0;0;0;0;2
Sporophila cinnamomea;0;1;0;0;0;0;1;2
Stelgidopteryx ruficollis;0;1;1;0;0;0;0;2
Sterna hirundo;0;1;1;0;0;0;0;2
Sterna paradisaea;0;1;1;0;0;0;0;2
Sterna trudeaui;0;1;1;0;0;0;0;2
Sternula antillarum;0;1;1;0;0;0;0;2
Tachycineta leucopyga;0;1;1;0;0;0;0;2
Tersina viridis;0;1;1;0;0;0;0;2
Thalasseus acuflavidus;0;1;1;0;0;0;0;2
Tringa flavipes;0;1;1;0;0;0;0;2
Tringa inornata;0;1;1;0;0;0;0;2
Tringa melanoleuca;0;1;1;0;0;0;0;2
Tringa semipalmata;0;1;1;0;0;0;0;2
Turdus flavipes;0;1;1;0;0;0;0;2
Tyrannus savana;0;1;1;0;0;0;0;2
Tyrannus tyrannus;0;1;1;0;0;0;0;2
Vireo altiloquus;0;0;1;0;1;0;0;2
Vireo chivi;0;0;1;0;1;0;0;2
Vireo flavoviridis;0;0;1;0;1;0;0;2
Vireo olivaceus;0;0;1;0;1;0;0;2
Anas georgica;0;1;0;0;0;0.25;0;1.25
Callonetta leucophrys;0;1;0;0;0;0.25;0;1.25
Falco peregrinus;0;0;0;1;0;0.25;0;1.25
Heteronetta atricapilla;0;1;0;0;0;0.25;0;1.25
Mareca sibilatrix;0;1;0;0;0;0.25;0;1.25
Netta peposaca;0;1;0;0;0;0.25;0;1.25
Oxyura vittata;0;1;0;0;0;0.25;0;1.25
Pandion haliaetus;0;0;0;1;0;0.25;0;1.25
Spatula discors;0;1;0;0;0;0.25;0;1.25
Spatula platalea;0;1;0;0;0;0.25;0;1.25
Spatula versicolor;0;1;0;0;0;0.25;0;1.25
Asemospiza obscura;0;0;1;0;0;0;0;1
Chaetura meridionalis;0;1;0;0;0;0;0;1
Chaetura pelagica;0;1;0;0;0;0;0;1
Cinclodes fuscus;0;1;0;0;0;0;0;1
Contopus virens;0;0;1;0;0;0;0;1
Cyanoloxia glaucocaerulea;0;0;0;0;1;0;0;1
Dolichonyx oryzivorus;0;1;0;0;0;0;0;1
Elaenia chilensis;0;0;1;0;0;0;0;1
Elaenia chiriquensis;0;0;1;0;0;0;0;1
Elaenia parvirostris;0;0;1;0;0;0;0;1
Elaenia spectabilis;0;0;1;0;0;0;0;1
Empidonax alnorum;0;0;1;0;0;0;0;1
