Espécie;Número de células com registros pré priorização;% de células com registro na solução
;;
Myiodynastes luteiventris;1;100%
Parkesia motacilla;1;100%
Progne cryptoleuca;1;100%
Progne dominicensis;1;100%
Spatula platalea;1;100%
Chaetura pelagica;2;100%
Coccyzus erythropthalmus;2;100%
Icterus galbula;2;100%
Micrococcyx cinereus;2;100%
Puffinus lherminieri;2;100%
Tringa inornata;2;100%
Mareca sibilatrix;3;100%
Asemospiza obscura;4;100%
Calidris mauri;4;100%
Sporophila iberaensis;4;100%
Conothraupis speculigera;5;100%
Phaeomyias murina;5;100%
Pterodroma arminjoniana;5;100%
Vireo flavoviridis;6;100%
Nengetus coronatus;9;100%
Chionis albus;12;100%
Empidonax alnorum;14;100%
Serpophaga munda;14;100%
Heteronetta atricapilla;15;100%
Phytotoma rutila;16;100%
Catharus minimus;17;100%
Oreopholus ruficollis;18;100%
Chlidonias niger;19;100%
Cypseloides niger;19;100%
Onychoprion fuscatus;20;100%
Setophaga ruticilla;22;96%
Chroicocephalus cirrocephalus;23;100%
Spatula discors;23;100%
Larus atlanticus;24;100%
Charadrius falklandicus;25;100%
Sporophila ruficollis;27;100%
Progne elegans;28;100%
Oxyura vittata;32;97%
Calidris bairdii;33;100%
Anthus correndera;34;97%
Phoenicopterus chilensis;35;100%
Dolichonyx oryzivorus;37;84%
Spatula versicolor;37;95%
Catharus swainsoni;37;100%
Serpophaga griseicapilla;39;97%
Cinclodes fuscus;40;95%
Sporophila hypochroma;41;88%
Pseudocolopteryx acutipennis;41;95%
Vireo altiloquus;41;100%
Sterna dougallii;43;100%
Piranga rubra;44;93%
Setophaga petechia;45;73%
Charadrius modestus;51;100%
Setophaga striata;53;79%
Inezia inornata;53;89%
Ictinia mississippiensis;54;80%
Lessonia rufa;55;100%
Pheucticus aureoventris;57;56%
Tyrannus tyrannus;62;86%
Calidris subruficollis;62;100%
Sporophila beltoni;63;100%
Vireo olivaceus;69;81%
Buteo swainsoni;69;88%
Sternula antillarum;71;97%
Contopus cooperi;78;81%
Sterna paradisaea;84;92%
Leucophaeus atricilla;84;93%
Contopus virens;86;73%
Pseudocolopteryx flaviventris;87;94%
Riparia riparia;93;91%
Sporophila palustris;93;91%
Buteo platypterus;94;79%
Gelochelidon nilotica;94;98%
Sterna trudeaui;99;98%
Phalaropus tricolor;102;96%
Tachycineta leucopyga;103;93%
Calidris himantopus;104;97%
Polystictus pectoralis;107;86%
Coscoroba coscoroba;114;94%
Neochen jubata;119;56%
Netta peposaca;124;84%
Limnodromus griseus;126;95%
Limosa haemastica;130;92%
Dacnis nigripes;139;87%
Sterna hirundinacea;141;94%
Pygochelidon melanoleuca;144;64%
Sporophila cinnamomea;151;82%
Sporophila melanogaster;152;86%
Calidris canutus;154;99%
Chordeiles minor;156;81%
Tringa semipalmata;160;98%
Stilpnia peruviana;169;92%
Thalasseus maximus;171;98%
Catharus fuscescens;179;53%
Sporophila hypoxantha;183;90%
Calidris minutilla;187;84%
Nyctanassa violacea;193;95%
Hymenops perspicillatus;204;82%
Amazona pretrei;206;70%
Bartramia longicauda;213;78%
Numenius hudsonicus;222;94%
Callonetta leucophrys;230;83%
Calidris pusilla;231;92%
Anas georgica;232;78%
Petrochelidon pyrrhonota;247;75%
Attila phoenicurus;248;75%
Pluvialis squatarola;250;94%
Mimus triurus;251;80%
Thalasseus acuflavidus;252;95%
Progne subis;255;65%
Pardirallus sanguinolentus;289;86%
Elaenia chilensis;296;65%
Arenaria interpres;296;92%
Sterna hirundo;301;91%
Calidris alba;301;94%
Coccyzus americanus;303;74%
Dendrocygna bicolor;306;81%
Charadrius semipalmatus;405;88%
Lurocalis semitorquatus;421;74%
Pluvialis dominica;423;84%
Calidris fuscicollis;448;85%
Calidris melanotos;450;83%
Plegadis chihi;465;74%
Sublegatus modestus;472;45%
Elaenia chiriquensis;477;55%
Falco peregrinus;482;80%
Cyanoloxia glaucocaerulea;494;68%
Sporophila bouvreuil;500;56%
Casiornis fuscus;520;27%
Tringa melanoleuca;602;83%
Turdus subalaris;615;68%
Harpagus diodon;616;74%
Turdus flavipes;622;65%
Hirundo rustica;625;68%
Griseotyrannus aurantioatrocristatus;655;50%
Podager nacunda;687;74%
Rynchops niger;688;71%
Actitis macularius;693;74%
Elaenia parvirostris;720;74%
Fluvicola albiventer;729;48%
Myiopagis viridicata;742;52%
Hydropsalis parvula;750;62%
Chaetura meridionalis;809;70%
Tringa flavipes;849;77%
Elaenia spectabilis;913;58%
Tyrannus albogularis;926;45%
Legatus leucophaius;944;64%
Platalea ajaja;983;69%
Pandion haliaetus;1013;62%
Elanoides forficatus;1086;57%
Coccyzus melacoryphus;1195;59%
Lathrotriccus euleri;1218;57%
Florisuga fusca;1234;54%
Pachyramphus validus;1301;55%
Myiarchus swainsoni;1359;57%
Porphyrio martinica;1420;54%
Myiophobus fasciatus;1498;55%
Anthracothorax nigricollis;1504;53%
Tringa solitaria;1533;53%
Pachyramphus polychopterus;1551;56%
Rostrhamus sociabilis;1588;54%
Sporophila lineola;1657;44%
Vireo chivi;1677;58%
Ictinia plumbea;1697;46%
Pyrocephalus rubinus;1821;51%
Tersina viridis;1862;48%
Progne tapera;1965;55%
Turdus amaurochalinus;2103;49%
Sporophila caerulescens;2185;46%
Progne chalybea;2233;51%
Empidonomus varius;2236;49%
Myiodynastes maculatus;2446;44%
Stelgidopteryx ruficollis;2495;45%
Tyrannus savana;2704;44%
Pitangus sulphuratus;3048;43%
Tyrannus melancholicus;3250;40%
