Táxon;Nome comum;Ameaça global (IUCN, 2020);Ameaça nacional (MMA, 2014);Área de ocorrência predominante;Habitat (Costeiro / Nerítico / Oceânico);Status migratório;Impacto e risco potencial dos CEOs
Phoenicopterus chilensis;Flamingo-chileno;NT;LC;Sul;Costeiro / Interior;Migrante austral;Colisão
Phoenicopterus ruber;Flamingo-americano;LC;LC;Norte;Costeiro;Residente / Migrante boreal;Colisão
Podicephorus major;Mergulhão-grande;LC;LC;Sul e Sudeste;Interior / Nerítico;Residente;Colisão / perda de habitat, risco moderado
Pluvialis dominica;Batuiruçu;LC;DD;Sul;Costeiro;Migrante boreal;Colisão
Pluvialis squatarola;Batuiruçu-de-axila-preta;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão
Oreopholus ruficollis;Batuíra-de-papo-ferrugíneo;LC;LC;Sul;Costeiro;Migrante austral;Colisão
Charadrius modestus;Batuíra-de-peito-tijolo;LC;LC;Sul;Costeiro;Migrante austral;Colisão
Charadrius semipalmatus;Batuíra-de-bando;LC;LC;Toda a costa do Brasil;Costeiro;Migrante boreal;Colisão
Charadrius wilsonia;Batuíra-bicuda;LC;VU;Norte e Nordeste;Costeiro;Residente;Colisão
Charadrius collaris;Batuíra-de-coleira;LC;LC;Toda a costa;Costeiro;Residente;Colisão
Charadrius falklandicus;Batuíra-de-coleira-dupla;LC;LC;Sul;Costeiro;Migrante austral/Residente no RS;Colisão
Haematopus palliatus;Piru-piru;LC;NT;Toda a costa;Costeiro;Residente, parcialmente migratória no extremo Norte;Colisão
Himantopus mexicanus;Pernilongo-de-costas-negras;LC;LC;Norte e Nordeste;Costeiro;Residente, parcialmente migratória no extremo Norte;Colisão
Himantopus melanurus;Pernilongo-de-costas-brancas;LC;LC;Toda a costa;Costeiro;Residente;Colisão
Bartramia longicauda;Maçarico-do-campo;LC;LC;Interior;Interior;Migrante boreal;Colisão
Numenius hudsonicus;Maçarico-de-bico-torto;LC;NT;Toda a costa do Brasil;Costeiro;Migrante boreal;Colisão
Limosa haemastica;Maçarico-de-bico-virado;LC;LC;Sul e Sudeste;Costeiro;Migrante boreal;Colisão
Arenaria interpres;Vira-pedras;LC;NT;Toda a costa;Costeiro;Migrante boreal;Colisão
Calidris canutus;Maçarico-de-papo-vermelho;NT;CR;Toda a costa;Costeiro;Migrante boreal;Colisão
Calidris himantopus;Maçarico-pernilongo;LC;LC;Toda a costa;Costeiro / Interior;Migrante boreal;Vagante (risco baixo)
Calidris alba;Maçarico-branco;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão
Calidris bairdii;Maçarico-de-bico-fino;LC;NA;Norte e Sul;Interior / Costeiro;Migrante boreal;Colisão
Calidris minutilla;Maçariquinho;LC;DD;Toda a costa, mais comum no Norte e Nordeste;Costeiro;Migrante boreal;Colisão
Calidris fuscicollis;Maçarico-de-sobre-branco;LC;LC;Toda a costa;Costeiro / Interior;Migrante boreal;Colisão
Calidris subruficollis;Maçarico-acanelado;NT;VU;Sul;Costeiro / Interior;Migrante boreal;Colisão
Calidris melanotos;Maçarico-de-colete;LC;LC;Toda a costa;Costeiro;Migrante boreal;Colisão
Calidris pusilla;Maçarico-rasteirinho;NT;EN;Toda a costa, mais comum no Norte e Nordeste;Costeiro;Migrante boreal;Colisão
Limnodromus griseus;Maçarico-de-costas-brancas;LC;CR;Norte e Nordeste;Costeiro;Migrante boreal;Colisão
Phalaropus tricolor;pisa-n'água;LC;DD;Vagante;Costeiro;Migrante boreal;Raro (risco baixo)
